Time t / min;Rate R_B1 / 1/s
0,0833166666666667;228
0,17;219
0,256666666666667;213,4
0,343333333333333;197,2
0,429983333333333;198,8
0,516683333333333;196
0,603333333333333;198,4
0,69;190
0,776683333333333;186,6
0,863333333333333;195,8
0,95;189,2
1,03666666666667;188,2
1,12333333333333;191,8
1,21;187,8
1,29668333333333;192,2
1,38333333333333;188,2
1,47;193,2
1,55666666666667;185
1,64333333333333;195,8
1,73;197,2
1,81666666666667;186
1,90331666666667;184,6
1,99001666666667;188,6
2,07666666666667;192,8
2,16333333333333;187
2,25;180,2
2,33666666666667;178,6
2,42333333333333;189,4
2,51;168,6
2,59666666666667;182,2
2,68168333333333;184
2,76833333333333;185,6
2,855;176,4
2,94;176,2
3,025;176
3,11166666666667;183,8
3,19835;176,6
3,285;189
3,37165;176,8
3,45835;177
3,545;182,8
3,63166666666667;176
3,71833333333333;171,2
3,805;185,6
3,89166666666667;187,4
3,97833333333333;180,6
4,06498333333333;172,8
4,15166666666667;169,8
4,23831666666667;174,8
4,325;182,4
4,41166666666667;173,2
4,49833333333333;185,6
4,585;178,8
4,67166666666667;172,4
4,75833333333333;181
4,845;177,4
4,93166666666667;181
5,01833333333333;177,6
5,105;179
5,19165;170
5,27833333333333;177,6
5,365;173,4
5,45166666666667;169,2
5,53833333333333;182,2
5,625;175,4
5,71168333333333;182
5,79833333333333;168
5,885;178,2
5,97168333333333;171,8
6,05833333333333;180,6
6,145;179,6
6,23166666666667;178,6
6,31833333333333;179,8
6,405;167,8
6,49166666666667;172,6
6,57833333333333;173,2
6,665;177,4
6,75166666666667;167,2
6,83833333333333;171
6,925;175
7,01166666666667;172,6
7,09833333333333;165
7,185;175,4
7,27166666666667;177,8
7,35831666666667;175,2
7,445;181
7,53166666666667;180,2
7,61833333333333;168,6
7,705;173,2
7,79166666666667;175
7,87833333333333;160,8
7,96333333333333;163,2
8,05;174,4
8,13666666666667;170,4
8,22333333333333;162,6
8,31;179
8,39665;170,4
8,48333333333333;176,2
8,57;176,4
8,65668333333333;171
8,74333333333333;167,2
8,83001666666667;174,2
8,91666666666667;159,6
9,00331666666667;166,4
9,09;173,8
9,17666666666667;168,2
9,26333333333333;166
9,35;174,6
9,43666666666667;158,8
9,52335;169,8
9,61;164,6
9,69666666666667;170,2
9,78335;175
9,87;163
9,95666666666667;170,4
10,04335;175,6
10,13;170,8
10,21665;173,6
10,3033333333333;169
10,39;169
10,4766666666667;176,8
10,5633166666667;172,8
10,65;161,4
10,7366666666667;166,2
10,8233166666667;168,2
10,91;168
10,9966666666667;164
11,0833333333333;175,8
11,17;167,2
11,2566666666667;167,8
11,3433333333333;168,6
11,43;162
11,5166666666667;164,4
11,6033333333333;162
11,69;166,2
11,7766833333333;167,2
11,8633333333333;162,6
11,95;164,8
12,0366833333333;155,6
12,1233333333333;170
12,2099833333333;164,6
12,2966666666667;158,4
12,3833333333333;163,6
12,4700166666667;153,6
12,5566666666667;164,4
12,6433333333333;177,8
12,73;161,4
12,8166666666667;164
12,9033333333333;155,6
12,9899833333333;161,2
13,075;148,6
13,1616666666667;152,2
13,2483333333333;155,2
13,3333333333333;161,4
13,42;167,4
13,5066833333333;156,4
13,5933333333333;161,4
13,6799833333333;165
13,7666666666667;170,2
13,8533333333333;163,8
13,94;161,4
14,0266666666667;158
14,1133333333333;155,4
14,1999833333333;160,8
14,2866666666667;161,8
14,37335;150,2
14,46;157,2
14,5466666666667;156,4
14,6333333333333;156,2
14,72;149,8
14,8066666666667;161,6
14,8933333333333;153
14,98;154,6
15,0666833333333;150,4
15,15335;162,2
15,24;163,4
15,32665;156,6
15,4133333333333;160,2
15,5;168
15,5866666666667;150,4
15,6733333333333;163,6
15,76;164
15,8466666666667;157,8
15,9333333333333;159,2
16,02;146,2
16,1066666666667;153,6
16,1933166666667;165,2
16,28;156,6
16,3666666666667;152,6
16,4533333333333;158,4
16,54;155
16,6267;153,8
16,71335;154,6
16,8;152
16,8866666666667;161
16,9733333333333;154,4
17,06;147,4
17,1466833333333;160,6
17,2333166666667;147,2
17,32;159,8
17,4066666666667;148
17,4933333333333;154,6
17,58;150,4
17,6666666666667;153,2
17,7516666666667;153,4
17,8383166666667;155
17,9250166666667;150
18,0116833333333;146,2
18,0983333333333;152,2
18,185;148,4
18,2716666666667;153
18,35835;156,4
18,445;152,6
18,5316833333333;141,4
18,6183333333333;156,8
18,705;148,2
18,7916833333333;146,8
18,87835;151,4
18,9649833333333;145,6
19,05165;148,6
19,1383333333333;153
19,225;151,6
19,31165;148,8
19,3983333333333;150,4
19,4850166666667;140,8
19,5716666666667;150,6
19,6583166666667;145,4
19,745;153,8
19,8316666666667;142,8
19,9183333333333;153
20,005;148
20,0916666666667;150,2
20,1783333333333;149,8
20,265;148,6
20,3516666666667;140,4
20,4383166666667;142,2
20,525;144,6
20,6116833333333;150,8
20,6983333333333;151,8
20,785;143,2
20,8716833333333;152
20,95835;140,2
21,045;151,2
21,1316666666667;151,6
21,2183333333333;144,8
21,305;156,8
21,3916666666667;143,2
21,4783333333333;146,4
21,565;142,2
21,6516666666667;146
21,7383166666667;141,6
21,8233333333333;144,2
21,91;144,6
21,9966666666667;134,6
22,0833333333333;144,6
22,1700166666667;154,2
22,2566833333333;145,2
22,34335;149,8
22,43;145,2
22,5166666666667;155,4
22,6016666666667;142,6
22,6866666666667;141,4
22,7733333333333;143
22,86;141,6
22,9466833333333;148
23,03335;148,4
23,12;147,2
23,2066666666667;131,8
23,2933333333333;144,2
23,3800166666667;144,4
23,4666666666667;145,2
23,5533333333333;143
23,64;142
23,7266666666667;135,4
23,8133166666667;147,4
23,8999833333333;145,4
23,9866666666667;140,2
24,07335;131,4
24,16;143,6
24,2466833333333;136,8
24,3333166666667;146,8
24,4200166666667;145,4
24,5066666666667;139
24,59335;139,6
24,68;144
24,7666666666667;138,2
24,8533333333333;143,4
24,94;138,8
25,02665;139,2
25,1133333333333;140,4
25,2;146
25,2866833333333;153,2
25,37335;140,2
25,4600166666667;139,6
25,5466666666667;137,4
25,6333333333333;137,4
25,7199833333333;135
25,8066666666667;131,6
25,89335;131
25,98;133,8
26,0666666666667;138,8
26,1533333333333;133,6
26,24;139
26,3266833333333;136,8
26,4133333333333;144,8
26,5;129,8
26,5866666666667;135,8
26,6733333333333;127,8
26,76;136,2
26,84665;135
26,93335;138
27,02;134,2
27,1066666666667;141,4
27,1933333333333;139
27,28;134,2
27,3666666666667;130,2
27,4533333333333;142,6
27,5400166666667;134,2
27,6266666666667;142,2
27,7116666666667;130,8
27,7983333333333;136,6
27,885;134,8
27,97165;129
28,0583333333333;146,6
28,145;136,2
28,2316833333333;129,8
28,3183333333333;138
28,4050166666667;143,4
28,4916666666667;138,2
28,5783333333333;141
28,6650166666667;143,2
28,7516666666667;137,6
28,8383333333333;136,6
28,925;140
29,0116666666667;130,6
29,0983333333333;133,6
29,185;130,4
29,27165;130,4
29,3583333333333;137,4
29,4450166666667;124
29,5316833333333;138,8
29,6183333333333;133,2
29,705;129,6
29,7916833333333;133,4
29,8783333333333;124,2
29,965;134,2
